x,y
3.763128038124402774e+00,8.955931073730326375e+00
3.568941105047565898e+00,7.824563656281055657e+00
1.190041585755129194e+00,6.612370213365792893e+00
-2.240672595215930762e+00,7.012724819188612457e+00
4.722074969574031833e+00,9.683765310937435089e+00
2.922898290120283793e+00,7.188229946566124795e+00
5.980685811549205866e+00,5.603338440451052449e+00
4.045187928035022473e+00,8.341559679602289279e+00
-3.282351927735323027e-01,6.845339511727221549e+00
-1.322161485544340875e+00,8.543865029323759686e+00
8.088414630271834049e-02,6.396181417229978905e+00
4.455927924732488776e+00,7.415589215696020808e+00
4.452732254370402210e+00,5.784828610155049233e+00
4.789902114765911101e+00,8.779919492560630090e+00
4.959264721627739014e+00,7.772140592352680066e+00
3.812213685301434563e+00,8.992925099304615699e+00
-1.864820995834499229e+00,5.198500350940534531e+00
-1.676778189392743590e+00,5.252152900885118214e+00
-3.605416442264145260e+00,6.103665808062158860e+00
-7.874178167221066449e-01,7.423714015512892672e+00
1.816040288436540528e+00,6.797694094714279878e+00
3.519604015078115822e+00,9.959139750541053715e+00
-2.970213020727938247e+00,6.837520730442387062e+00
4.202790244929134111e+00,8.122725595181234937e+00
-1.903493084984160033e+00,8.834828746913395037e+00
-8.943001157200923812e-01,5.614383401808023422e+00
9.612672004397162517e-01,8.786866723106328436e+00
9.752455323859710035e-01,7.075886959825046674e+00
2.851754780365163722e+00,6.946417918527407309e+00
5.710014972241057585e+00,7.331445627979727320e+00
5.521275486563675727e+00,7.965382045295208435e+00
3.669076535190735289e+00,8.598953014466099276e+00
2.444246455832881360e+00,7.044273036135171751e+00
-1.495298424723008113e+00,7.476221426532973169e+00
-5.967095075478638933e-01,5.761832478886501185e+00
4.311982427718253241e+00,5.934910473685128807e+00
-1.609060863655751517e+00,7.533808756212612145e+00
-1.519196878775922910e+00,6.966267868366014859e+00
-1.648340423821707201e+00,7.591642422285580061e+00
-3.521870370316629639e+00,6.865675440369753524e+00
-1.505434864397602990e+00,7.133205719730187688e+00
-3.648802550267153499e+00,6.156808970573688811e+00
-1.302593327708066795e+00,7.766656406988543537e+00
4.633437066862769349e+00,6.452010796925225833e+00
-2.477893283452372586e+00,6.912994469000710573e+00
3.600095820920675926e+00,8.796276226687748334e+00
3.637916582451237169e+00,8.563429626870137312e+00
2.853432603632213738e+00,8.736021182210620850e+00
-7.658605728301003390e-01,6.404102370218391904e+00
-1.802440354980870740e+00,4.893912042571020748e+00
2.119920927376029773e+00,8.211742386216920764e+00
-2.194134193799092358e+00,7.100934959266155921e+00
-8.230664413870548701e-01,7.663059766974106068e+00
3.515111465212774178e+00,7.082438849747367371e+00
5.732390171018808545e+00,5.362644890779107776e+00
-1.775167829138527331e+00,6.666979792667342863e+00
-1.486294656267966419e+00,5.928187468278188099e+00
4.427385692524628880e+00,7.854813753183150560e+00
-1.919921656004195176e+00,7.134111932595945227e+00
-4.614450085085284314e-01,5.832319118976085015e+00
1.638538241232233794e+00,8.972439680316032451e+00
-2.730958003074169582e+00,6.908034077403591766e+00
-2.995844062379596107e+00,6.037194891571934896e+00
-1.474401430406863334e+00,5.441009886728275902e+00
1.710244514886138045e+00,9.038418834637315769e+00
-2.502939908227330701e+00,6.914917378070982501e+00
-3.216663098618139927e-01,7.028071458855543518e+00
6.011867015410791382e+00,7.928404322915719504e+00
4.615256950133328928e+00,7.771523180755915305e+00
-1.896981367065909918e+00,6.794016279559446758e+00
5.962719419003740029e+00,8.946950730767920135e+00
4.071559942661353571e-01,4.265318523467202638e+00
4.041601168608337957e+00,8.030536155160172385e+00
4.678891783266704962e+00,7.008377011008393609e+00
3.439130146276337285e+00,6.999722524538028345e+00
3.235886596590831665e+00,7.894638460168118321e+00
4.321802497662739384e+00,6.317414795918718795e+00
3.794184059525931296e+00,7.825382976092045695e+00
-2.447281596746698096e+00,7.757139392659406774e+00
-1.042798639102924696e+00,5.504403893078426258e+00
3.924228453139380512e+00,8.197738615419064345e+00
-1.615438104812660036e+00,6.389576703062980201e+00
3.799965499786127854e+00,8.859121288160595853e+00
-7.803101401796207481e-01,7.662684465612116469e+00
-1.210111090283766178e+00,7.226273462171253215e+00
-2.882103410533001231e+00,4.677885736329866262e+00
-2.967267945959326525e-01,7.856874037937174649e+00
-1.474441809128449465e+00,7.466584847932168145e+00
4.384138323762135414e+00,7.719631038219325170e+00
4.499867883473198660e+00,7.834742026741285947e+00
-2.188110691148918541e+00,5.547437165950560356e+00
3.214099477681668482e+00,6.480523714788985146e+00
3.436310840590370841e+00,8.991999502421769819e+00
2.577771440265407943e+00,6.423238544316323129e+00
-9.271846756150036173e-01,5.009638283974527262e+00
-6.923860811995741216e-02,7.011373245706149504e+00
-7.810106583756895038e-01,7.427960453456840639e+00
2.362638786437891270e+00,8.874787478515305139e+00
-9.891384845747214216e-01,6.513586158322397957e+00
-1.626104495223797075e+00,4.659011732815881324e+00
3.946941700844706524e+00,8.628359865379879423e+00
3.709963061947974872e+00,5.956357641556961902e+00
2.673938379590499625e+00,8.223067311968859983e+00
-2.528326365718732927e+00,6.384669435644132918e+00
-2.601547056757475218e+00,5.217932625222633014e+00
3.869088400114347071e+00,7.414029662442332302e+00
-1.524066657127584268e+00,6.159719379745145496e+00
-9.135544655891454369e-01,6.629819889770165453e+00
-2.136094858433795540e+00,5.491192455313846921e+00
3.343971362696471772e+00,7.417318747441674631e+00
-1.599423270357857696e+00,7.515655541717052301e+00
-2.208600158130177959e+00,6.737677453947388706e+00
-2.149211538219831574e+00,7.976401430987849039e+00
4.437503730645413924e+00,7.468271264735356851e+00
4.622428345453630349e+00,7.899313985620506351e+00
-1.517696158749201052e+00,7.229308175992587238e+00
4.851288585325801428e+00,7.566728141721823064e+00
6.331775253610983256e+00,8.452215254646800346e+00
5.638117363054121256e+00,8.637876907446973007e+00
4.876677593302654046e+00,8.024232265680723231e+00
-2.764399317589095517e+00,6.370927065313693127e+00
3.596178098445422133e+00,7.631409742370347082e+00
-3.030834525197032558e-01,8.036709504713908103e+00
-1.827645732312541016e+00,4.934094452620696458e+00
-1.618467254499984076e+00,5.838304847775305007e+00
6.110881922725517335e+00,6.929632966632457425e+00
3.533044995630760354e+00,7.259137101590500407e+00
4.139983998262464659e+00,6.442971574498637999e+00
-1.748815427445902237e+00,5.647172346749620431e+00
-1.090333313236320656e+00,6.624571256439288902e+00
-1.412221913009924057e+00,5.692015132304852010e+00
4.110626826548219981e+00,7.155084398503131382e+00
3.195992876289387219e+00,9.110806805629795946e+00
4.640125180757409318e+00,7.491147254720743831e+00
-5.102036734118409189e-01,6.882607996325094568e+00
-5.393002942360680674e-01,6.460453912510010888e+00
2.440881913928685254e+00,7.345530563214238917e+00
-2.575922977088137777e+00,6.016042445350823442e+00
-1.225799282484843378e+00,5.577295309665977641e+00
-1.674905294243492770e+00,5.996124967342528755e+00
-5.282578405643294506e-01,6.340563952943046644e+00
-3.051648813223017953e-02,7.307929808502449553e+00
3.662583701983919582e+00,6.219811176980796219e+00
-1.174861598675873031e+00,6.618484630276958214e+00
-2.065699806897074442e+00,6.125960624922281106e+00
3.563024540134867468e+00,8.692947044752797225e+00
-1.699169201144733243e+00,8.151277919114590986e+00
4.154202920311173663e+00,7.564014860893099268e+00
-1.518528008613762470e+00,6.983554332519445573e+00
3.249609495759941957e+00,9.261195149489610756e+00
2.723269244150354762e+00,9.214068972262417390e+00
4.645650431559993798e+00,9.050170251519288556e+00
4.880348480492467722e+00,6.775063853601984043e+00
3.905063746264158642e+00,6.610290373182815316e+00
-4.535421202552656350e-01,7.115838280865801835e+00
3.524080310423143736e+00,7.342302005078199301e+00
2.871796656439799200e+00,7.635603411991896294e+00
3.737413048492901346e+00,8.237338642440178660e+00
-2.180527161943436987e+00,7.001891159039695722e+00
-3.021977238702558743e+00,7.384577322318695458e+00
5.300571137846960212e+00,7.637430452697598682e+00
4.647560308346784019e+00,8.863055432008257739e+00
-8.121984241967263873e-01,5.879019276435831109e+00
-2.381388747897268399e+00,7.076246736697154205e+00
-3.214236827781976391e+00,7.249975665527375490e+00
4.115928099372429649e+00,6.733581115569339914e+00
3.748421555100306612e+00,6.224022776756967801e+00
-2.112831332731986755e+00,6.276873531617403579e+00
